Gene,RF_R2,RF_MSE,XGB_R2,XGB_MSE,Ensemble_R2,Ensemble_MSE
SRSF5,0.41405454574332223,259.2308029395934,0.5822096481721202,184.83653653760246,0.506203123313257,218.46293012880545
FTL,-0.007551986786507259,427.58011576479635,-0.02544245085065855,435.1723857379155,-0.016141186550597153,431.2251594723373
STMN1,0.5819945064402863,163.93307965483152,0.6851762947134041,123.46732363842493,0.6365791766849977,142.52610478721365
DDX5,0.4886303182137225,207.8786857407297,0.5743643690976923,173.02663553952678,0.5328292356620674,189.91122854180054
HSP90AA1,0.006691749604798458,267.17367226416224,-0.023368259531253877,275.25902041865305,-0.007728250238849821,271.05227118926257
EMP3,0.37721502272002994,254.25907555729768,0.49770530503493193,205.06754250390378,0.4485065422446065,225.15349897681895
GPSM3,0.5171921882745163,178.54439711111792,0.5912307546529567,151.16461808524264,0.5568650377144748,163.87320743085436
S100A6,0.3726937340687725,239.69105475204657,0.401074881525058,228.8467390830935,0.38755919661886973,234.01102477064595
METRN,0.45654948491306957,198.29252521049636,0.5962719553569295,147.31102694375892,0.5306407846132908,171.25832337275503
TXNIP,-1.5677245782466316,29.73187790521399,-7.364933461543963,96.85819985167268,-3.9585195865842593,57.415074882994325
HIST1H1D,0.6602864012630891,77.8891937380087,0.8583298941779924,32.481979998098936,0.7757052824882184,51.426068228186345
ADI1,0.5366338182942777,167.75044134017762,0.6509822797932066,126.35336567875642,0.5989626396715446,145.18580950675246
CORO1A,0.34437539086959135,206.26670189842395,0.3239942891916391,212.67882030524146,0.3390530510349138,207.94116845869786
ZFAS1,0.7632893621961208,28.602345923797873,0.609273031714937,47.21252923962601,0.7181487828648812,34.056796459740774
UFC1,0.6586049409879244,108.71615431481645,0.8183734110183524,57.838400861871044,0.7490913106187254,79.90106205004611
HCST,0.21992608826768878,254.3745118797042,0.06583624564329371,304.62171014346507,0.14966040360375388,277.28746790792115
LIMD2,0.5254976504195592,142.17023778593085,0.6672457788535718,99.69971020478577,0.6021041840608415,119.21741339345503
CIRBP,0.5725825352383065,78.81663698781117,0.8694255408600662,24.07819191864312,0.8018510064851312,36.53907146744473
BAX,0.6075486049085096,13.10464179192412,0.3636251309771411,21.24967526738707,0.521230902002755,15.986941590139741
HSP90AB1,0.008665580690604968,247.08439036949386,-0.025062066136820826,255.4908119489621,-0.007804503942381968,251.18946403748026
